gauge_id;gauge;leitercharackter_huek250;gesteinsart_huek250;soil_texture_boart_1000;durchlässigkeit_huek250;dominating_soil_type_bk500;land_use_corine;area_m2_watershed;grundwasserneubildung_gwn_1000;greundigkeit_physgru_1000;slope_mean_dem_40;elongation_ratio;et_mean;dis_mean;prec_mean;runoff_ratio
42780500;Adelshausen;Grundwasser-Geringleiter;Sediment;Lehmsande (ls);gering (>1E-7 - 1E-5);Dystric Cambisols;Grassland;116131615.2;112.135869;5.274001193;8.89779362;0.50419018;563.8337948;233.0068489;796.8406437;0.292413359
42880458;Alsfeld;Grundwasser-Leiter;Magmatit;Tonschluffe (tu);mittel bis maessig (>1E-5 - 1E-3);Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols ;Grassland;131493849.4;137.6134082;16.44116037;4.265928572;0.542324962;521.4083009;248.766739;770.1750399;0.323000261
25842500;Asslar;Grundwasser-Leiter;Magmatit;Tonschluffe (tu);maessig (>1E-5 - 1E-4);Eutric Cambisols;Wood;693990399.9;134.9533504;5.82442421;8.361496739;0.531270784;533.558813;386.5995601;920.158373;0.420144588
42810204;Auhammer;Grundwasser-Geringleiter;Sediment;Tonschluffe (tu);gering bis aeußerst gering (<1E-5);Spodic Cambisols;Wood;489601265.1;184.2041657;5.299180328;10.67782665;0.340654371;430.7448372;670.537677;1101.282514;0.608869812
42710050;Bad Hersfeld 1;Grundwasser-Leiter/Geringleiter;Sediment;Lehmsande (ls);maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Grassland;2120724498;128.8769722;7.699952618;6.220881611;0.547418822;518.6806858;272.8385951;791.5192809;0.344702399
42590301;Bad Hersfeld 2;Grundwasser-Leiter/Geringleiter;Sediment;Lehmsande (ls);maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Grassland;74883490.39;97.04569356;5.356227106;9.191873475;0.450841529;498.1304462;232.7595212;730.8278721;0.318487472
42430156;Bad Salzschlirf;Grundwasser-Leiter;Magmatit;Tonschluffe (tu);mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols / Stagnic Gleysols;Grassland;135000903.8;190.9749399;9.381276151;4.945642458;0.40301684;553.5673388;373.3272378;926.8945766;0.40277206
24781909;Bad Soden;Grundwasser-Leiter;Magmatit;Tonschluffe (tu);mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Grassland;89330138.33;177.0199651;9.508580343;4.754175875;0.36672215;543.9704402;390.3035647;934.2740049;0.417761345
24870055;Bad Vilbel;Grundwasser-Leiter;Magmatit;Tonschluffe (tu);mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Agriculture;1621061595;103.2858027;13.63401564;4.121316331;0.521118246;537.4131335;185.7378659;723.1590258;0.256842353
25822659;Bartenhausen;Grundwasser-Leiter/Geringleiter;Sediment;Lehmsande (ls);maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Wood;274600973.2;93.10042371;9.73496994;6.436942765;0.556347077;531.8791594;181.9857377;713.8648971;0.254930223
25810558;Biedenkopf;Grundwasser-Geringleiter;Sediment;Tonschluffe (tu);gering bis aeußerst gering (<1E-5);Spodic Cambisols;Wood;304328932;151.6636034;5.955147059;11.24475403;0.591448879;504.2881439;540.8737723;1043.68473;0.518234824
41850054;Bischhausen;Grundwasser-Geringleiter;Sediment;Lehmsande (ls);gering (>1E-7 - 1E-5);Dystric Cambisols;Grassland;150027507.5;124.8816611;5.547240412;9.241924589;0.575125832;510.4591218;279.3661426;789.8252644;0.353706263
25850257;Bonbaden;Grundwasser-Geringleiter;Sediment;Tonschluffe (tu);gering bis aeußerst gering (<1E-5);Spodic Cambisols;Wood;98413161.08;73.01232496;5.782106782;6.847574863;0.578726347;550.2491873;198.4731265;748.3938666;0.265198762
44430055;Braunsen;Grundwasser-Geringleiter;Sediment;Lehmsande (ls);gering (>1E-7 - 1E-5);Dystric Cambisols;Agriculture;116897497.8;92.65154952;8.102266124;7.234284757;0.628156069;543.3496921;190.2360876;733.5857796;0.259323576
25810354;Breidenbach;Grundwasser-Geringleiter;Sediment;Tonschluffe (tu);gering bis aeußerst gering (<1E-5);Spodic Cambisols;Grassland;93113358.99;142.3355505;6.766747377;8.486858385;0.576710195;583.30537;369.013062;1004.508309;0.367356903
24841250;Bruchenbruecken;Grundwasser-Leiter;Magmatit;Tonschluffe (tu);mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Agriculture;513983970.3;77.4688725;13.50482482;3.870269244;0.39363788;521.3152064;158.6102105;679.9254169;0.233275895
